Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Channel Islands,CHI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,104401.4347,,,,,95037.73105,,,,,87591.89107,,,,,81023.35148,,,,,75358.21335,,,,,69999.66859,,,,,64505.22886,,,,,59852.99698,,,,,56425.44608,,,,,53538.36895,,,,,50861.01959,,,,,47914.41025,47252.50446,,,
China,CHN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4225.032669,,,,,3727.917302,,,,,3263.111493,,,,,2981.488253,,,,,2788.832377,,,,,2594.842417,,,,,2414.568616,,,,,2286.771132,,,,,2196.891596,,,,,2134.404747,,,,,2077.18267,,,,,2014.661066,2005.261057,,,
Cote d'Ivoire,CIV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20377.87648,,,,,16909.58609,,,,,13780.42355,,,,,10935.74793,,,,,8766.694683,,,,,7182.524742,,,,,5997.301995,,,,,5078.425455,,,,,4459.265072,,,,,4008.085023,,,,,3566.126587,,,,,3144.351043,3065.112581,,,
Cameroon,CMR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,50567.44827,,,,,45105.93202,,,,,39754.36752,,,,,34611.41586,,,,,29781.34276,,,,,25440.17561,,,,,21840.87538,,,,,19031.75892,,,,,16689.4848,,,,,14575.32703,,,,,12706.38154,,,,,11112.88863,10826.34733,,,
"Congo, Dem. Rep.",COD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,56105.57373,,,,,48969.94442,,,,,42610.89248,,,,,37114.73819,,,,,32470.7034,,,,,28545.41871,,,,,24106.76597,,,,,20535.19697,,,,,18046.31768,,,,,15396.80465,,,,,13039.55713,,,,,11056.67881,10705.60754,,,
"Congo, Rep.",COG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,207624.8836,,,,,182034.8047,,,,,157837.4843,,,,,136261.6912,,,,,117779.8186,,,,,102242.0013,,,,,89158.59587,,,,,77425.21404,,,,,67061.8685,,,,,57273.72429,,,,,49221.79674,,,,,43438.26806,42331.16586,,,
Colombia,COL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,125490.5613,,,,,108128.5008,,,,,95263.77384,,,,,85238.97751,,,,,76329.56494,,,,,68760.10024,,,,,62313.77043,,,,,56860.65109,,,,,52476.59819,,,,,49042.57014,,,,,46553.80216,,,,,43856.20204,43192.7988,,,
Comoros,COM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6085.130982,,,,,5558.128763,,,,,5016.114267,,,,,4349.354665,,,,,3670.353333,,,,,3186.007057,,,,,2749.430639,,,,,2390.652549,,,,,2107.185503,,,,,1870.25423,,,,,1657.767678,,,,,1474.400718,1441.749707,,,
Cabo Verde,CPV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1427.612888,,,,,1212.013478,,,,,1103.586288,,,,,1097.554283,,,,,1019.561996,,,,,934.1807391,,,,,843.2580117,,,,,742.1186994,,,,,677.2697001,,,,,631.4898741,,,,,593.7760396,,,,,558.1405733,551.709933,,,
